slug,display_name,image_mode,image_url,image_credit,image_license,image_source_page,notes
coelophysis,Coelophysis,silhouette,,,,,
coelurus,Coelurus,silhouette,,,,,
colepiocephale,Colepiocephale,silhouette,,,,,
coloradisaurus,Coloradisaurus,silhouette,,,,,
columbosauripus,Columbosauripus,silhouette,,,,,
comahuesaurus,Comahuesaurus,silhouette,,,,,
compsognathus,Compsognathus,silhouette,,,,,
concavenator,Concavenator,silhouette,,,,,
conchoraptor,Conchoraptor,silhouette,,,,,
condorraptor,Condorraptor,silhouette,,,,,
coronosaurus,Coronosaurus,silhouette,,,,,
corpulentapus,Corpulentapus,silhouette,,,,,
corvipes,Corvipes,silhouette,,,,,
corythosaurus,Corythosaurus,silhouette,,,,,
craspedodon,Craspedodon,silhouette,,,,,
crichtonsaurus,Crichtonsaurus,silhouette,,,,,
cruxicheiros,Cruxicheiros,silhouette,,,,,
cryolophosaurus,Cryolophosaurus,silhouette,,,,,
cumnoria,Cumnoria,silhouette,,,,,
daanosaurus,Daanosaurus,silhouette,,,,,
dacentrurus,Dacentrurus,silhouette,,,,,
daemonosaurus,Daemonosaurus,silhouette,,,,,
dahalokely,Dahalokely,silhouette,,,,,
dakotadon,Dakotadon,silhouette,,,,,
dakotaraptor,Dakotaraptor,silhouette,,,,,
dakotasaurus,Dakotasaurus,silhouette,,,,,
dalianraptor,Dalianraptor,silhouette,,,,,
damalasaurus,Damalasaurus,silhouette,,,,,
dashanpusaurus,Dashanpusaurus,silhouette,,,,,
daspletosaurus,Daspletosaurus,silhouette,,,,,
datanglong,Datanglong,silhouette,,,,,
datonglong,Datonglong,silhouette,,,,,
datousaurus,Datousaurus,silhouette,,,,,
daxiatitan,Daxiatitan,silhouette,,,,,
defarrariischnium,Defarrariischnium,silhouette,,,,,
deinocheirus,Deinocheirus,silhouette,,,,,
deinonychus,Deinonychus,silhouette,,,,,
delapparentia,Delapparentia,silhouette,,,,,
delatorrichnus,Delatorrichnus,silhouette,,,,,
deltadromeus,Deltadromeus,silhouette,,,,,
demandasaurus,Demandasaurus,silhouette,,,,,
deuterotetrapous,Deuterotetrapous,silhouette,,,,,
diabloceratops,Diabloceratops,silhouette,,,,,
diamantinasaurus,Diamantinasaurus,silhouette,,,,,
dicraeosaurus,Dicraeosaurus,silhouette,,,,,
dilong,Dilong,silhouette,,,,,
dilophosauripus,Dilophosauripus,silhouette,,,,,
dilophosaurus,Dilophosaurus,silhouette,,,,,
dinehichnus,Dinehichnus,silhouette,,,,,
dinosauropodes,Dinosauropodes,silhouette,,,,,
diplodocus,Diplodocus,silhouette,,,,,
dongbeititan,Dongbeititan,silhouette,,,,,
dongyangopelta,Dongyangopelta,silhouette,,,,,
dongyangosaurus,Dongyangosaurus,silhouette,,,,,
draconyx,Draconyx,silhouette,,,,,
dracopelta,Dracopelta,silhouette,,,,,
dracoraptor,Dracoraptor,silhouette,,,,,
dracovenator,Dracovenator,silhouette,,,,,
