occurrence_no,name,diet,type,length_m,max_ma,min_ma,region,lng,lat,class,family,slug,id,diet_clean,diet_code,type_group,survival_span_ma,era_mid_ma,has_coords,has_length,match_pool,region_clean,hemisphere_ns,hemisphere_ew,attack_base,defense_base,mobility_base,data_quality_score,image_key,image_mode,image_url,image_credit,image_license,length_norm
883366,Falcarius,,,,129.4,125.0,Utah,-110.110764,38.90987,Saurischia,,falcarius,falcarius-883366,unknown,0.4,unknown,4.400000000000006,127.2,True,False,False,Utah,N,W,0.5,0.5,0.5,1,falcarius,silhouette,,,,
884203,Bressanichnus,,,,99.6,93.5,Mendoza,-69.25,-39.516666,Saurischia,,bressanichnus,bressanichnus-884203,unknown,0.4,unknown,6.099999999999994,96.55,True,False,False,Mendoza,S,W,0.5,0.5,0.5,1,bressanichnus,silhouette,,,,
884205,Defarrariischnium,,,,99.6,93.5,Mendoza,-69.25,-39.516666,Saurischia,,defarrariischnium,defarrariischnium-884205,unknown,0.4,unknown,6.099999999999994,96.55,True,False,False,Mendoza,S,W,0.5,0.5,0.5,1,defarrariischnium,silhouette,,,,
884207,Abelichnus,,,,99.6,93.5,Mendoza,-69.25,-39.516666,Saurischia,,abelichnus,abelichnus-884207,unknown,0.4,unknown,6.099999999999994,96.55,True,False,False,Mendoza,S,W,0.5,0.5,0.5,1,abelichnus,silhouette,,,,
884210,Bressanichnus,,,,99.6,93.5,Mendoza,-69.25,-39.516666,Saurischia,,bressanichnus,bressanichnus-884210,unknown,0.4,unknown,6.099999999999994,96.55,True,False,False,Mendoza,S,W,0.5,0.5,0.5,1,bressanichnus,silhouette,,,,
884211,Defarrariischnium,,,,99.6,93.5,Mendoza,-69.25,-39.516666,Saurischia,,defarrariischnium,defarrariischnium-884211,unknown,0.4,unknown,6.099999999999994,96.55,True,False,False,Mendoza,S,W,0.5,0.5,0.5,1,defarrariischnium,silhouette,,,,
884212,Picunichnus,,,,99.6,93.5,Mendoza,-69.25,-39.516666,Saurischia,,picunichnus,picunichnus-884212,unknown,0.4,unknown,6.099999999999994,96.55,True,False,False,Mendoza,S,W,0.5,0.5,0.5,1,picunichnus,silhouette,,,,
884859,Spinosaurus,carnivorous,large theropod,18.0,83.6,72.1,Al Wadi al Jadid,29.290556,25.617779,Saurischia,Spinosauridae,spinosaurus,spinosaurus-884859,carnivorous,1.0,theropod,11.5,77.85,True,True,True,Al Wadi al Jadid,N,E,1.0,0.55,0.9,4,spinosaurus,silhouette,,,,0.507959479015919
884860,Carcharodontosaurus,carnivorous,large theropod,15.0,83.6,72.1,Al Wadi al Jadid,29.290556,25.617779,Saurischia,Carcharodontosauridae,carcharodontosaurus,carcharodontosaurus-884860,carnivorous,1.0,theropod,11.5,77.85,True,True,True,Al Wadi al Jadid,N,E,1.0,0.55,0.9,4,carcharodontosaurus,silhouette,,,,0.4211287988422577
884863,Spinosaurus,carnivorous,large theropod,18.0,83.6,72.1,Al Wadi al Jadid,29.519444,25.493055,Saurischia,Spinosauridae,spinosaurus,spinosaurus-884863,carnivorous,1.0,theropod,11.5,77.85,True,True,True,Al Wadi al Jadid,N,E,1.0,0.55,0.9,4,spinosaurus,silhouette,,,,0.507959479015919
885768,Richardoestesia,carnivorous,small theropod,1.5,130.0,113.0,Buryat,106.274719,51.195557,Saurischia,Dromaeosauridae,richardoestesia,richardoestesia-885768,carnivorous,1.0,theropod,17.0,121.5,True,True,True,Buryat,N,E,1.0,0.55,0.9,4,richardoestesia,silhouette,,,,0.03039073806078148
887572,Yunnanosaurus,omnivorous,sauropod,7.0,174.1,163.5,Yunnan,101.90889,25.947222,Saurischia,,yunnanosaurus,yunnanosaurus-887572,omnivorous,0.6,sauropod,10.599999999999994,168.8,True,True,True,Yunnan,N,E,0.65,0.8,0.25,3,yunnanosaurus,silhouette,,,,0.18958031837916064
887573,Tonganosaurus,,,,201.3,174.1,Sichuan,102.144447,26.343056,Saurischia,Mamenchisauridae,tonganosaurus,tonganosaurus-887573,unknown,0.4,unknown,27.200000000000017,187.7,True,False,False,Sichuan,N,E,0.5,0.5,0.5,2,tonganosaurus,silhouette,,,,
887577,Microraptor,carnivorous,small theropod,0.8,125.0,113.0,Liaoning,120.158333,41.572224,Saurischia,Dromaeosauridae,microraptor,microraptor-887577,carnivorous,1.0,theropod,12.0,119.0,True,True,True,Liaoning,N,E,1.0,0.55,0.9,4,microraptor,silhouette,,,,0.010130246020260494
887797,Kol,,,,83.6,66.0,Omnogov,100.901947,43.664444,Saurischia,Alvarezsauridae,kol,kol-887797,unknown,0.4,unknown,17.599999999999994,74.8,True,False,False,Omnogov,N,E,0.5,0.5,0.5,2,kol,silhouette,,,,
888629,Caenagnathus,,,,83.5,70.6,Alberta,-111.513893,50.734207,Saurischia,Caenagnathidae,caenagnathus,caenagnathus-888629,unknown,0.4,unknown,12.900000000000006,77.05,True,False,False,Alberta,N,W,0.5,0.5,0.5,2,caenagnathus,silhouette,,,,
890419,Otozoum,,,,228.0,208.5,Pennsylvania,-77.081947,40.0,Saurischia,Otozoidae,otozoum,otozoum-890419,unknown,0.4,unknown,19.5,218.25,True,False,False,Pennsylvania,N,W,0.5,0.5,0.5,2,otozoum,silhouette,,,,
890993,Sarahsaurus,,,,199.3,182.7,Arizona,-111.083298,35.75,Saurischia,,sarahsaurus,sarahsaurus-890993,unknown,0.4,unknown,16.600000000000023,191.0,True,False,False,Arizona,N,W,0.5,0.5,0.5,1,sarahsaurus,silhouette,,,,
892779,Panamericansaurus,,,,83.5,66.0,Neuquén,-68.688309,-38.451462,Saurischia,,panamericansaurus,panamericansaurus-892779,unknown,0.4,unknown,17.5,74.75,True,False,False,Neuquén,S,W,0.5,0.5,0.5,1,panamericansaurus,silhouette,,,,
893426,Sanjuansaurus,,,,237.0,228.0,San Juan,-67.897858,-30.119198,Saurischia,Herrerasauridae,sanjuansaurus,sanjuansaurus-893426,unknown,0.4,unknown,9.0,232.5,True,False,False,San Juan,S,W,0.5,0.5,0.5,2,sanjuansaurus,silhouette,,,,
895800,Phuwiangosaurus,,,,129.4,113.0,Nakhon Ratchasima,101.733299,14.96667,Saurischia,,phuwiangosaurus,phuwiangosaurus-895800,unknown,0.4,unknown,16.400000000000006,121.2,True,False,False,Nakhon Ratchasima,N,E,0.5,0.5,0.5,1,phuwiangosaurus,silhouette,,,,
