name,slug,display_name,occurrence_count,exemplar_occurrence_no,diet,type,type_group,length_m,max_ma,min_ma,era_mid_ma,survival_span_ma,class_name,family,region_example,lat,lng,unique_regions,has_any_coords,has_any_length,match_pool,data_quality_score,attack_base,defense_base,mobility_base,id,diet_code,length_norm,image_key,image_mode,image_url,image_credit,image_license
Rhoetosaurus,rhoetosaurus,Rhoetosaurus,1,407849,herbivorous,sauropod,sauropod,15.0,170.3,168.3,169.3,2.0,Saurischia,,Queensland,-26.083332,149.050003,1,True,True,True,3,0.35,0.8,0.25,rhoetosaurus,0.2,0.4211287988422577,rhoetosaurus,silhouette,,,
Richardoestesia,richardoestesia,Richardoestesia,151,248044,carnivorous,small theropod,theropod,1.5,157.3,66.0,77.05,6.099999999999994,Saurischia,Dromaeosauridae,Alberta,47.549999,-107.050003,19,True,True,True,4,1.0,0.55,0.9,richardoestesia,1.0,0.03039073806078148,richardoestesia,silhouette,,,
Rinconsaurus,rinconsaurus,Rinconsaurus,1,539207,unknown,,unknown,,89.3,83.5,86.4,5.799999999999997,Saurischia,,Neuquén,-37.383331,-68.900002,1,True,False,False,1,0.5,0.5,0.5,rinconsaurus,0.4,,rinconsaurus,silhouette,,,
Riojasaurus,riojasaurus,Riojasaurus,2,513603,herbivorous,sauropod,sauropod,5.15,228.0,208.5,218.25,19.5,Saurischia,Riojasauridae,La Rioja,-29.8917505,-68.02316300000001,1,True,True,True,4,0.35,0.8,0.25,riojasaurus,0.2,0.13603473227206947,riojasaurus,silhouette,,,
Rocasaurus,rocasaurus,Rocasaurus,1,513477,unknown,,unknown,,83.5,66.0,74.75,17.5,Saurischia,Saltasauridae,Río Negro,-39.29097,-67.491791,1,True,False,False,2,0.5,0.5,0.5,rocasaurus,0.4,,rocasaurus,silhouette,,,
Rotundichnus,rotundichnus,Rotundichnus,1,1023904,unknown,,unknown,,145.0,140.2,142.6,4.800000000000011,Saurischia,,Niedersachsen,52.4333,9.1833,1,True,False,False,1,0.5,0.5,0.5,rotundichnus,0.4,,rotundichnus,silhouette,,,
Rubeosaurus,rubeosaurus,Rubeosaurus,2,463125,unknown,,unknown,,83.6,72.1,77.85,11.5,Ornithischia,Ceratopsidae,Montana,48.965599499999996,-112.67919950000001,1,True,False,False,2,0.5,0.5,0.5,rubeosaurus,0.4,,rubeosaurus,silhouette,,,
Ruehleia,ruehleia,Ruehleia,1,486412,unknown,,unknown,,228.0,208.5,218.25,19.5,Saurischia,Plateosauridae,Thuringia,50.383301,10.55,1,True,False,False,2,0.5,0.5,0.5,ruehleia,0.4,,ruehleia,silhouette,,,
Rugops,rugops,Rugops,1,561838,carnivorous,large theropod,theropod,7.0,100.5,93.9,97.2,6.599999999999994,Saurischia,Abelisauridae,Agadez,17.933332,5.616667,1,True,True,True,4,1.0,0.55,0.9,rugops,1.0,0.18958031837916064,rugops,silhouette,,,
Rukwatitan,rukwatitan,Rukwatitan,1,1276848,unknown,,unknown,,125.0,93.9,109.45,31.099999999999994,Saurischia,,Unknown,-8.7,32.700001,1,True,False,False,1,0.5,0.5,0.5,rukwatitan,0.4,,rukwatitan,silhouette,,,
