name,slug,display_name,occurrence_count,exemplar_occurrence_no,diet,type,type_group,length_m,max_ma,min_ma,era_mid_ma,survival_span_ma,class_name,family,region_example,lat,lng,unique_regions,has_any_coords,has_any_length,match_pool,data_quality_score,attack_base,defense_base,mobility_base,id,diet_code,length_norm,image_key,image_mode,image_url,image_credit,image_license,silhouette_type
Mussaurus,mussaurus,Mussaurus,2,513573,herbivorous,sauropod,sauropod,3.0,228.0,208.5,218.25,19.5,Saurischia,,Santa Cruz,-48.0818655,-68.903351,1,True,True,True,3,0.35,0.8,0.25,mussaurus,0.2,0.0738060781476121,mussaurus,silhouette,dino_images/images/dinos/long-necked.png,,,long-necked
Muttaburrasaurus,muttaburrasaurus,Muttaburrasaurus,3,474481,herbivorous,ornithopod,ornithopod,7.0,105.3,93.5,99.4,11.799999999999995,Ornithischia,,Queensland,-20.966667,144.383331,1,True,True,True,3,0.35,0.6,0.75,muttaburrasaurus,0.2,0.1895803183791606,muttaburrasaurus,silhouette,dino_images/images/dinos/herbivore.png,,,herbivore
Muyelensaurus,muyelensaurus,Muyelensaurus,1,536065,unknown,,unknown,,89.3,83.5,86.4,5.799999999999997,Saurischia,,Neuquén,-37.38842,-69.026611,1,True,False,False,1,0.5,0.5,0.5,muyelensaurus,0.4,,muyelensaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Mymoorapelta,mymoorapelta,Mymoorapelta,2,409319,unknown,,unknown,,157.3,145.0,151.15,12.300000000000011,Ornithischia,Nodosauridae,Colorado,39.045955500000005,-108.7362325,1,True,False,False,2,0.5,0.5,0.5,mymoorapelta,0.4,,mymoorapelta,silhouette,dino_images/images/dinos/general.jpg,,,general
Naashoibitosaurus,naashoibitosaurus,Naashoibitosaurus,1,382139,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,Hadrosauridae,New Mexico,36.269444,-108.166946,1,True,False,False,2,0.5,0.5,0.5,naashoibitosaurus,0.4,,naashoibitosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nambalia,nambalia,Nambalia,1,1066207,unknown,,unknown,,228.0,208.5,218.25,19.5,Saurischia,,Andhra Pradesh,19.266666,79.449997,1,True,False,False,1,0.5,0.5,0.5,nambalia,0.4,,nambalia,silhouette,dino_images/images/dinos/general.jpg,,,general
Nankangia,nankangia,Nankangia,1,1183820,unknown,,unknown,,72.1,66.0,69.05,6.099999999999994,Saurischia,Oviraptoridae,Jiangxi,25.729168,114.806389,1,True,False,False,2,0.5,0.5,0.5,nankangia,0.4,,nankangia,silhouette,dino_images/images/dinos/general.jpg,,,general
Nanningosaurus,nanningosaurus,Nanningosaurus,1,828526,unknown,,unknown,,100.5,66.0,83.25,34.5,Ornithischia,Hadrosauridae,Guangxi,22.8167,108.316704,1,True,False,False,2,0.5,0.5,0.5,nanningosaurus,0.4,,nanningosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nanosaurus,nanosaurus,Nanosaurus,5,408090,unknown,,unknown,,157.3,145.0,151.15,12.300000000000011,Ornithischia,,Colorado,38.547501,-105.231598,2,True,False,False,1,0.5,0.5,0.5,nanosaurus,0.4,,nanosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nanotyrannus,nanotyrannus,Nanotyrannus,3,280102,unknown,,unknown,,72.1,66.0,68.3,4.599999999999994,Saurischia,Tyrannosauridae,Montana,45.500801,-104.48333,2,True,False,False,2,0.5,0.5,0.5,nanotyrannus,0.4,,nanotyrannus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nanshiungosaurus,nanshiungosaurus,Nanshiungosaurus,2,458368,omnivorous,large theropod,theropod,4.4,129.4,66.0,98.0,17.0,Saurischia,Therizinosauridae,Gansu,32.609016499999996,106.256802,2,True,True,True,4,0.65,0.55,0.9,nanshiungosaurus,0.6,0.1143270622286541,nanshiungosaurus,silhouette,dino_images/images/dinos/carnivore.jpeg,,,carnivore
Nanuqsaurus,nanuqsaurus,Nanuqsaurus,1,513142,unknown,,unknown,,70.6,66.0,68.3,4.599999999999994,Saurischia,Tyrannosauridae,Alaska,69.832222,-151.51944,1,True,False,False,2,0.5,0.5,0.5,nanuqsaurus,0.4,,nanuqsaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nanyangosaurus,nanyangosaurus,Nanyangosaurus,1,537341,unknown,,unknown,,93.5,70.6,82.05,22.90000000000001,Ornithischia,,Henan,33.49781,112.879425,1,True,False,False,1,0.5,0.5,0.5,nanyangosaurus,0.4,,nanyangosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Narambuenatitan,narambuenatitan,Narambuenatitan,1,980820,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Saurischia,,Neuquén,-37.394444,-69.140556,1,True,False,False,1,0.5,0.5,0.5,narambuenatitan,0.4,,narambuenatitan,silhouette,dino_images/images/dinos/general.jpg,,,general
Nasutoceratops,nasutoceratops,Nasutoceratops,1,882008,unknown,,unknown,,83.5,70.6,77.05,12.900000000000006,Ornithischia,Ceratopsidae,Utah,37.529842,-111.762489,1,True,False,False,2,0.5,0.5,0.5,nasutoceratops,0.4,,nasutoceratops,silhouette,dino_images/images/dinos/general.jpg,,,general
Navahopus,navahopus,Navahopus,3,522462,unknown,,unknown,,201.3,174.1,182.45,16.700000000000017,Saurischia,,Arizona,36.166668,-112.00972,3,True,False,False,1,0.5,0.5,0.5,navahopus,0.4,,navahopus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nebulasaurus,nebulasaurus,Nebulasaurus,1,1144205,unknown,,unknown,,174.1,168.3,171.2,5.799999999999983,Saurischia,,Yunnan,26.0,101.861115,1,True,False,False,1,0.5,0.5,0.5,nebulasaurus,0.4,,nebulasaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nedcolbertia,nedcolbertia,Nedcolbertia,2,516810,unknown,,unknown,,129.4,122.46,125.5775,3.6950000000000074,Saurischia,,Utah,38.7721275,-109.629784,1,True,False,False,1,0.5,0.5,0.5,nedcolbertia,0.4,,nedcolbertia,silhouette,dino_images/images/dinos/general.jpg,,,general
Neimongosaurus,neimongosaurus,Neimongosaurus,2,537626,unknown,,unknown,,86.3,70.6,77.75,14.300000000000004,Saurischia,Therizinosauridae,Nei Mongol,45.207287,88.79114899999999,2,True,False,False,2,0.5,0.5,0.5,neimongosaurus,0.4,,neimongosaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nemegtomaia,nemegtomaia,Nemegtomaia,3,529494,unknown,,unknown,,83.5,66.0,74.75,17.5,Saurischia,Oviraptoridae,Omnogov,43.505554,101.078331,1,True,False,False,2,0.5,0.5,0.5,nemegtomaia,0.4,,nemegtomaia,silhouette,dino_images/images/dinos/general.jpg,,,general
Nemegtosaurus,nemegtosaurus,Nemegtosaurus,3,989476,herbivorous,sauropod,sauropod,13.0,89.3,66.0,74.8,17.599999999999994,Saurischia,Nemegtosauridae,Fukushima,42.821259,101.047775,3,True,True,True,4,0.35,0.8,0.25,nemegtosaurus,0.2,0.3632416787264834,nemegtosaurus,silhouette,dino_images/images/dinos/long-necked.png,,,long-necked
Neoanomoepus,neoanomoepus,Neoanomoepus,2,518079,unknown,,unknown,,152.1,125.0,140.475,16.14999999999999,Ornithischia,Anomoepodidae,British Columbia,33.366665999999995,-6.308334500000001,2,True,False,False,2,0.5,0.5,0.5,neoanomoepus,0.4,,neoanomoepus,silhouette,dino_images/images/dinos/general.jpg,,,general
Neovenator,neovenator,Neovenator,2,471740,carnivorous,large theropod,theropod,7.4,132.9,125.0,128.075,6.150000000000006,Saurischia,Neovenatoridae,England,48.1875555,-1.145175,2,True,True,True,4,1.0,0.55,0.9,neovenator,1.0,0.2011577424023155,neovenator,silhouette,dino_images/images/dinos/carnivore.jpeg,,,carnivore
Neuquenraptor,neuquenraptor,Neuquenraptor,1,482022,unknown,,unknown,,93.5,85.8,89.65,7.700000000000003,Saurischia,Dromaeosauridae,Neuquén,-38.900002,-69.550003,1,True,False,False,2,0.5,0.5,0.5,neuquenraptor,0.4,,neuquenraptor,silhouette,dino_images/images/dinos/general.jpg,,,general
Neuquensaurus,neuquensaurus,Neuquensaurus,8,508084,unknown,,unknown,,100.5,66.0,77.05,17.5,Saurischia,Saltasauridae,Río Negro,-38.816669,-68.06666949999999,3,True,False,False,2,0.5,0.5,0.5,neuquensaurus,0.4,,neuquensaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Ngexisaurus,ngexisaurus,Ngexisaurus,1,1252923,unknown,,unknown,,174.1,163.5,168.8,10.599999999999994,Saurischia,,Xizang,31.067663,97.327209,1,True,False,False,1,0.5,0.5,0.5,ngexisaurus,0.4,,ngexisaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nigersaurus,nigersaurus,Nigersaurus,1,567908,herbivorous,sauropod,sauropod,15.0,125.0,100.5,112.75,24.5,Saurischia,Rebbachisauridae,Agadez,16.450001,9.133333,1,True,True,True,4,0.35,0.8,0.25,nigersaurus,0.2,0.4211287988422577,nigersaurus,silhouette,dino_images/images/dinos/long-necked.png,,,long-necked
Ningyuansaurus,ningyuansaurus,Ningyuansaurus,1,1108752,unknown,,unknown,,129.4,113.0,121.2,16.400000000000006,Saurischia,,Liaoning,40.650002,119.683296,1,True,False,False,1,0.5,0.5,0.5,ningyuansaurus,0.4,,ningyuansaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Niobrarasaurus,niobrarasaurus,Niobrarasaurus,2,487783,unknown,,unknown,,89.3,83.5,86.1,2.8999999999999986,Ornithischia,,Kansas,38.7140005,-100.247002,1,True,False,False,1,0.5,0.5,0.5,niobrarasaurus,0.4,,niobrarasaurus,silhouette,dino_images/images/dinos/general.jpg,,,general
Nipponosaurus,nipponosaurus,Nipponosaurus,1,396875,herbivorous,ornithopod,ornithopod,,85.8,70.6,78.19999999999999,15.200000000000005,Ornithischia,Hadrosauridae,Sakhalin,47.167702,142.5,1,True,False,False,3,0.35,0.6,0.75,nipponosaurus,0.2,,nipponosaurus,silhouette,dino_images/images/dinos/herbivore.png,,,herbivore
